Security,Symbol,GICS Sector,GICS Sub Industry,Headquarters Location,Founded
3M Company,MMM,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1902
Abbott Laboratories,ABT,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
AbbVie Inc.,ABBV,Health Care,Pharmaceuticals,"North Chicago, Illinois",2013 (1888)
ABIOMED Inc,ABMD,Health Care,Health Care Equipment,"Danvers, Massachusetts",1981
Accenture plc,ACN,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2008
Adobe Systems Inc,ADBE,Information Technology,Application Software,"San Jose, California",1982
Advanced Micro Devices Inc,AMD,Information Technology,Semiconductors,"Sunnyvale, California",1969
Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",1932
AES Corp,AES,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
Affiliated Managers Group Inc,AMG,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",1993
AFLAC Inc,AFL,Financials,Life & Health Insurance,"Columbus, Georgia",1955
Agilent Technologies Inc,A,Health Care,Health Care Equipment,"Santa Clara, California",1999
Air Products & Chemicals Inc,APD,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
Akamai Technologies Inc,AKAM,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
Alaska Air Group Inc,ALK,Industrials,Airlines,"Seattle, Washington",1985
Albemarle Corp,ALB,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",1994
Alexandria Real Estate Equities,ARE,Real Estate,Office REITs,"Pasadena, California",1994
Alexion Pharmaceuticals,ALXN,Health Care,Biotechnology,"Cheshire, Connecticut",1992
Align Technology,ALGN,Health Care,Health Care Supplies,"San Jose, California",1997
Allegion,ALLE,Industrials,Building Products,"Dublin, Ireland",1908
"Allergan, Plc",AGN,Health Care,Pharmaceuticals,"Dublin, Ireland",1983
Alliance Data Systems,ADS,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1996
